,date,Open,Close,Volume,Price_change,stock,Positive,Negative,Neutral
0,2010-01-04,30.6200008392334,30.950000762939453,38409100,1,Microsoft,0.09936454022924102,0.27925865910947323,0.6213767565786839
1,2010-01-05,30.850000381469727,30.959999084472656,49749600,0,Microsoft,0.250802620081231,0.12665274681057775,0.6225446313619614
2,2010-01-06,30.8799991607666,30.770000457763672,58182400,-1,Microsoft,0.08727406933903689,0.04627711307257408,0.8664487957954407
3,2010-01-07,30.6299991607666,30.450000762939453,50559700,-1,Microsoft,0.08448102138936517,0.04028034290032723,0.8752386314528329
4,2010-01-08,30.280000686645508,30.65999984741211,51197400,1,Microsoft,0.0903365463018417,0.0196519121527671,0.8900115489959717
5,2010-01-11,30.709999084472656,30.270000457763672,68754700,-1,Microsoft,0.12903257925063372,0.05261882611860826,0.8183485964934031
6,2010-01-12,30.149999618530277,30.06999969482422,65912100,-1,Microsoft,0.0313529595732688,0.0393421947956085,0.929304838180542
7,2010-01-13,30.26000022888184,30.350000381469727,51863500,1,Microsoft,0.12277371180243786,0.2591851765755564,0.6180411167442799
8,2010-01-14,30.309999465942383,30.959999084472656,63228100,1,Microsoft,0.3262661149104436,0.22450362316643194,0.44923023879528046
9,2010-01-15,31.07999992370605,30.86000061035156,79913200,-1,Microsoft,0.4560046372935176,0.2191330818459391,0.3248622827231884
10,2010-01-19,30.75,31.100000381469727,46575700,1,Microsoft,0.0724053171773751,0.5321034931888183,0.3954911269247532
11,2010-01-20,30.809999465942383,30.59000015258789,54849500,-1,Microsoft,0.18207048935194806,0.17413514774913588,0.6437943801283836
12,2010-01-21,30.61000061035156,30.01000022888184,73086700,-1,Microsoft,0.0665289275348186,0.14689675346016878,0.7865743041038513
13,2010-01-22,30.0,28.959999084472656,102004600,-1,Microsoft,0.057926663508017805,0.03857044968754047,0.9035029212633768
14,2010-01-25,29.239999771118164,29.31999969482422,63373000,1,Microsoft,0.23028607964515682,0.11277627265080807,0.6569376595318317
15,2010-01-26,29.200000762939453,29.5,66639900,1,Microsoft,0.0587517991662025,0.2872116155922413,0.6540365815162659
16,2010-01-27,29.350000381469727,29.670000076293945,63949500,1,Microsoft,0.21080115940421815,0.01859685927629466,0.7706019818782807
17,2010-01-28,29.84000015258789,29.15999984741211,117513700,-1,Microsoft,0.0483728572726249,0.5843652337789536,0.36726189032196993
18,2010-01-29,29.899999618530277,28.18000030517578,193888500,-1,Microsoft,0.17395496284589168,0.40414389967918396,0.4219011373817921
19,2010-02-02,28.3700008392334,28.459999084472656,54413700,0,Microsoft,0.17718972265720367,0.026057352311909133,0.7967529644568762
20,2010-02-03,28.26000022888184,28.6299991607666,61397900,1,Microsoft,0.33447842734555405,0.05169385857880113,0.6138277178009351
21,2010-02-04,28.3799991607666,27.84000015258789,77850000,-1,Microsoft,0.12662355080246923,0.02451423089951272,0.8488622069358825
